指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
IR0135,特選臺灣電動車代表報酬指數,2026/03/31,14849.6,18338.28,-977.48,-5.06%
IR0136,特選台股領航報酬指數,2026/04/02,15708.71,20399.78,-351.8,-1.7%
IR0136,特選台股領航報酬指數,2026/04/01,15979.61,20751.58,721.45,3.6%
IR0136,特選台股領航報酬指數,2026/03/31,15424.07,20030.13,-489.2,-2.38%
IR0139,臺灣科技龍頭通訊報酬指數,2026/04/02,16753.93,20238.77,-462.09,-2.23%
IR0139,臺灣科技龍頭通訊報酬指數,2026/04/01,17136.45,20700.86,1072.11,5.46%
IR0139,臺灣科技龍頭通訊報酬指數,2026/03/31,16248.94,19628.75,-669.9,-3.3%
IR0144,特選機電類上限10%報酬指數,2026/04/02,0,12448.12,-231.88,-1.83%
IR0144,特選機電類上限10%報酬指數,2026/04/01,0,12680,591.1,4.89%
IR0144,特選機電類上限10%報酬指數,2026/03/31,0,12088.9,-538.24,-4.26%
IR0146,臺灣智慧移動與電動車報酬指數,2026/04/02,10066.1,12144.15,-213.28,-1.73%
IR0146,臺灣智慧移動與電動車報酬指數,2026/04/01,10242.89,12357.43,673.94,5.77%
IR0146,臺灣智慧移動與電動車報酬指數,2026/03/31,9684.26,11683.49,-579.08,-4.72%
IR0147,特選ESG高股息報酬指數,2026/04/02,6946.31,9709.57,-127.13,-1.29%
IR0147,特選ESG高股息報酬指數,2026/04/01,7037.27,9836.7,121.69,1.25%
IR0147,特選ESG高股息報酬指數,2026/03/31,6950.21,9715.01,-142.32,-1.44%
IR0148,特選上櫃ESG成長報酬指數,2026/04/02,6643.71,7720.45,-155.26,-1.97%
IR0148,特選上櫃ESG成長報酬指數,2026/04/01,6777.32,7875.71,361.97,4.82%
IR0148,特選上櫃ESG成長報酬指數,2026/03/31,6465.83,7513.74,-318.84,-4.07%
IR0151,特選臺灣核心戰略建設報酬指數,2026/04/02,0,11442.25,-291.21,-2.48%
IR0151,特選臺灣核心戰略建設報酬指數,2026/04/01,0,11733.46,607.55,5.46%
IR0151,特選臺灣核心戰略建設報酬指數,2026/03/31,0,11125.91,-501.08,-4.31%
IR0159,特選臺灣IC設計報酬指數,2026/04/02,4830.49,5882.2,-24.96,-0.42%
IR0159,特選臺灣IC設計報酬指數,2026/04/01,4853.67,5907.16,138.3,2.4%
IR0159,特選臺灣IC設計報酬指數,2026/03/31,4740.03,5768.86,-161.95,-2.73%
IR0164,特選臺灣IC設計產業代表報酬指數,2026/04/02,6245.22,7629.12,27.34,0.36%
IR0164,特選臺灣IC設計產業代表報酬指數,2026/04/01,6222.84,7601.78,230.61,3.13%
IR0164,特選臺灣IC設計產業代表報酬指數,2026/03/31,6034.06,7371.17,-247.26,-3.25%
IR0165,特選臺灣綠能報酬指數,2026/04/02,7916.04,9076.28,-93.68,-1.02%
IR0165,特選臺灣綠能報酬指數,2026/04/01,7997.75,9169.96,406.66,4.64%
IR0165,特選臺灣綠能報酬指數,2026/03/31,7643.07,8763.3,-409.23,-4.46%
IR0173,特選上櫃ESG永續高股息報酬指數,2026/04/02,9970.9,11810.65,-500.73,-4.07%
IR0173,特選上櫃ESG永續高股息報酬指數,2026/04/01,10393.63,12311.38,503.14,4.26%
IR0173,特選上櫃ESG永續高股息報酬指數,2026/03/31,9968.86,11808.24,-487.09,-3.96%
IR0174,特選臺灣金融高股息存股報酬指數,2026/04/02,7846.37,9045.95,39.42,0.44%
IR0174,特選臺灣金融高股息存股報酬指數,2026/04/01,7812.18,9006.53,223.1,2.54%
IR0174,特選臺灣金融高股息存股報酬指數,2026/03/31,7618.66,8783.43,-53.94,-0.61%
IR0179,特選臺灣科技優息報酬指數,2026/04/02,9292.21,10913.13,-196.75,-1.77%
IR0179,特選臺灣科技優息報酬指數,2026/04/01,9461.77,11109.88,278.16,2.57%
IR0179,特選臺灣科技優息報酬指數,2026/03/31,9224.88,10831.72,-319.88,-2.87%
IR0184,臺灣優選成長高股息報酬指數,2026/04/02,8527.18,9949.32,-165.61,-1.64%
IR0184,臺灣優選成長高股息報酬指數,2026/04/01,8669.11,10114.93,275.3,2.8%
