指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
IX0223,臺灣性平指數,2026/04/02,6109.39,6371.96,-84.72,-1.37%
IX0223,臺灣性平指數,2026/04/01,6194.11,6459.65,215.9,3.61%
IX0223,臺灣性平指數,2026/03/31,5978.21,6234.5,-214.12,-3.46%
IX0224,特選臺灣中小型精選動能100指數,2026/04/02,5684.2,5888.25,-94.08,-1.63%
IX0224,特選臺灣中小型精選動能100指數,2026/04/01,5778.28,5985.71,240.42,4.34%
IX0224,特選臺灣中小型精選動能100指數,2026/03/31,5537.86,5736.65,-219.27,-3.81%
IX0225,特選臺灣動能趨勢指數,2026/04/02,9755.14,10453.76,-215,-2.16%
IX0225,特選臺灣動能趨勢指數,2026/04/01,9970.14,10684.16,417.81,4.37%
IX0225,特選臺灣動能趨勢指數,2026/03/31,9552.33,10236.43,-258.1,-2.63%
IX0226,台美動能多資產平衡指數,2026/04/01,5583.86,5670.89,193.89,3.6%
IX0226,台美動能多資產平衡指數,2026/03/31,5389.97,5473.66,-123.82,-2.25%
IX0227,特選臺灣大型股25指數,2026/04/02,8222.15,8464.81,-175.5,-2.09%
IX0227,特選臺灣大型股25指數,2026/04/01,8397.65,8645.49,400.2,5%
IX0227,特選臺灣大型股25指數,2026/03/31,7997.45,8233.49,-141.19,-1.73%
IX0228,雙核債股平衡指數,2026/04/01,6471.45,6529.91,102.36,1.61%
IX0228,雙核債股平衡指數,2026/03/31,6369.09,6426.63,-21.32,-0.33%
IX0229,特選臺灣市值菁英50指數,2026/04/02,6059.5,6086.29,-123.28,-1.99%
IX0229,特選臺灣市值菁英50指數,2026/04/01,6182.78,6210.12,283.45,4.8%
IX0229,特選臺灣市值菁英50指數,2026/03/31,5899.33,5925.41,-150.3,-2.48%
IX0230,特選臺灣TOP 50指數,2026/04/02,6161.13,6183.76,-103.08,-1.65%
IX0230,特選臺灣TOP 50指數,2026/04/01,6264.21,6287.22,294.66,4.94%
IX0230,特選臺灣TOP 50指數,2026/03/31,5969.55,5991.48,-154.11,-2.52%
IX0231,臺灣璞玉指數,2026/04/02,4900.56,4913.13,-44.33,-0.9%
IX0231,臺灣璞玉指數,2026/04/01,4944.89,4957.57,106.57,2.2%
IX0231,臺灣璞玉指數,2026/03/31,4838.32,4849.73,-90.02,-1.83%
IX0232,特選臺灣動能優息指數,2026/04/02,4654.44,4672.02,-83.23,-1.76%
IX0232,特選臺灣動能優息指數,2026/04/01,4737.67,4751.41,88.66,1.91%
IX0232,特選臺灣動能優息指數,2026/03/31,4649.01,4662.49,-96.61,-2.04%
KRTWIT,臺韓資訊科技指數(美元),2026/04/03,5828.2,8824.14,109.66,1.92%
KRTWIT,臺韓資訊科技指數(美元),2026/04/02,5718.54,8658.11,-226.99,-3.82%
KRTWIT,臺韓資訊科技指數(美元),2026/04/01,5945.53,9001.79,464.3,8.47%
KRTWIT,臺韓資訊科技指數(美元),2026/03/31,5481.23,8298.82,-294.37,-5.1%
KRTWITK,臺韓資訊科技指數(韓元),2026/04/03,7810.8,11825.88,81.42,1.05%
KRTWITK,臺韓資訊科技指數(韓元),2026/04/02,7729.38,11702.6,-244.48,-3.07%
KRTWITK,臺韓資訊科技指數(韓元),2026/04/01,7973.86,12072.76,496.09,6.63%
KRTWITK,臺韓資訊科技指數(韓元),2026/03/31,7477.77,11321.66,-291.89,-3.76%
KRTWITT,臺韓資訊科技指數,2026/04/03,6398.84,9688.12,117.05,1.86%
KRTWITT,臺韓資訊科技指數,2026/04/02,6281.79,9510.89,-246.9,-3.78%
KRTWITT,臺韓資訊科技指數,2026/04/01,6528.69,9884.71,469.36,7.75%
KRTWITT,臺韓資訊科技指數,2026/03/31,6059.33,9174.09,-290.1,-4.57%
LV30,低波動股利精選30指數,2026/04/02,9423.19,13651.37,-56.72,-0.6%
LV30,低波動股利精選30指數,2026/04/01,9479.91,13733.54,206.38,2.23%
LV30,低波動股利精選30指數,2026/03/31,9273.53,13434.56,-46.12,-0.49%
SAM50,中小型A級動能50指數,2026/04/02,25021.11,32837.9,-406.38,-1.6%
SAM50,中小型A級動能50指數,2026/04/01,25427.49,33371.24,1053.09,4.32%
SAM50,中小型A級動能50指數,2026/03/31,24374.4,31989.16,-1196.21,-4.68%
SC300,小型股300指數,2026/04/02,11449.68,16806.78,-128.85,-1.11%
SC300,小型股300指數,2026/04/01,11578.53,16995.45,253.94,2.24%
SC300,小型股300指數,2026/03/31,11324.59,16617.13,-303.96,-2.61%
TTDRIN,臺指反向一倍指數,2026/04/02,1835.66,0,32.74,1.82%
TTDRIN,臺指反向一倍指數,2026/04/01,1802.92,0,-86.47,-4.58%
TTDRIN,臺指反向一倍指數,2026/03/31,1889.39,0,45.1,2.45%
TTDRL2,臺指日報酬兩倍指數,2026/04/02,115935.6,0,-4368.99,-3.63%
TTDRL2,臺指日報酬兩倍指數,2026/04/01,120304.59,0,10088.29,9.15%
TTDRL2,臺指日報酬兩倍指數,2026/03/31,110216.3,0,-5667.44,-4.89%
TW50,臺灣50指數,2026/04/02,29566.99,67699.88,-644.98,-2.13%
TW50,臺灣50指數,2026/04/01,30211.97,69176.69,1453.33,5.05%
TW50,臺灣50指數,2026/03/31,28758.64,65848.99,-591.3,-2.01%
TW50C,臺灣50權重上限30%指數,2026/04/02,23292.17,54686.89,-443.71,-1.87%
TW50C,臺灣50權重上限30%指數,2026/04/01,23735.88,55728.67,1074.5,4.74%
TW50C,臺灣50權重上限30%指數,2026/03/31,22661.38,53205.89,-654.85,-2.81%
TWDP,臺灣高股息指數,2026/04/02,10395,33076.07,-91.8,-0.88%
TWDP,臺灣高股息指數,2026/04/01,10486.8,33368.16,304.47,2.99%
TWDP,臺灣高股息指數,2026/03/31,10182.33,32399.37,-203.91,-1.96%
TWEI,臺灣發達指數,2026/04/02,13866.49,29834.89,-288.89,-2.04%
TWEI,臺灣發達指數,2026/04/01,14155.38,30456.47,661.26,4.9%
TWEI,臺灣發達指數,2026/03/31,13494.12,29031.96,-670.28,-4.73%
TWIT,臺灣資訊科技指數,2026/04/02,61443.76,131288.20,-1364,-2.17%
TWIT,臺灣資訊科技指數,2026/04/01,62807.76,134202.70,3094.42,5.18%
TWIT,臺灣資訊科技指數,2026/03/31,59713.34,127590.79,-1232.42,-2.02%
TWMC,臺灣中型100指數,2026/04/02,27269.59,58382.35,-184.94,-0.67%
TWMC,臺灣中型100指數,2026/04/01,27454.53,58778.30,1047.58,3.97%
TWMC,臺灣中型100指數,2026/03/31,26406.95,56531.82,-1085.96,-3.95%
t00,發行量加權股價指數,2026/04/02,32572.43,74300.61,-602.39,-1.82%
t00,發行量加權股價指數,2026/04/01,33174.82,75674.58,1451.83,4.58%
t00,發行量加權股價指數,2026/03/31,31722.99,72360.16,-795.17,-2.45%
